batter,collapse_balls,collapse_runs,collapse_pressure_exposure,collapse_weighted_runs,collapse_dismissals,collapse_boundaries,collapse_sr_raw,collapse_pressure_sr_raw,collapse_boundary_rate_raw,collapse_dismissal_rate_raw,collapse_pressure_sr_raw_norm,collapse_pressure_exposure_norm,collapse_boundary_rate_raw_norm,collapse_balls_norm,collapse_dismissal_temp,collapse_dismissal_rate_norm,collapse_specialist_score
DL Vettori,59,62,206.5,213.20000000000002,3,8,105.08474576271188,103.24455205811138,0.13559322033898305,0.05084745762711865,0.38755328414357054,0.08137231215269389,0.4180790960451977,0.07289719626168224,0.11342894393741852,0.8865710560625815,0.31829027694071327
DPMD Jayawardene,111,124,293.1,330.2,11,17,111.7117117117117,112.65779597407027,0.15315315315315314,0.0990990990990991,0.4351307296709776,0.12321816863976806,0.47222222222222215,0.17009345794392525,0.22106722106722107,0.7789327789327789,0.3573409274629841
DR Sams,22,14,91.4,54.1,8,1,63.63636363636363,59.19037199124726,0.045454545454545456,0.36363636363636365,0.16488983559186043,0.025755013288233874,0.14015151515151514,0.003738317757009342,0.8111888111888113,0.18881118881118875,0.10461478959660715
DR Smith,29,34,80.1,107.6,13,5,117.24137931034481,134.33208489388264,0.1724137931034483,0.4482758620689655,0.5446792880249562,0.020294757187726498,0.5316091954022988,0.016822429906542057,1.0,0.0,0.2779761839019924
DS Kulkarni,90,79,417.8,359.0,5,7,87.77777777777777,85.92628051699377,0.07777777777777778,0.05555555555555555,0.30002138459516353,0.183474269147137,0.2398148148148148,0.13084112149532712,0.12393162393162394,0.8760683760683761,0.2940812799484504
DT Christian,47,65,151.9,203.9,7,7,138.29787234042556,134.23304805793285,0.14893617021276595,0.14893617021276595,0.5441787252317603,0.05498912780864944,0.4592198581560283,0.05046728971962616,0.3322422258592471,0.6677577741407529,0.3474386853787019
DW Steyn,94,76,414.90000000000003,335.6,11,6,80.85106382978722,80.88696071342491,0.06382978723404255,0.11702127659574468,0.2745511040425685,0.18207296448417493,0.19680851063829785,0.1383177570093458,0.2610474631751228,0.7389525368248773,0.2657753213655769
Dhruv Jurel,87,134,360.9,563.6,7,20,154.02298850574712,156.16514269880855,0.22988505747126436,0.08045977011494253,0.6550303134190303,0.15597970524281227,0.7088122605363983,0.1252336448598131,0.1794871794871795,0.8205128205128205,0.4754137038680774
EJG Morgan,145,176,413.40000000000003,459.0,15,21,121.37931034482759,111.03047895500724,0.14482758620689656,0.10344827586206896,0.42690576625544,0.1813481517274704,0.44655172413793104,0.23364485981308414,0.23076923076923078,0.7692307692307692,0.37370662063700083
F du Plessis,119,166,383.9,566.2,24,22,139.49579831932772,147.4863245636885,0.18487394957983194,0.20168067226890757,0.6111648828881264,0.16709350084561486,0.5700280112044818,0.18504672897196262,0.44990303813833227,0.5500969618616678,0.4239519914348814
G Gambhir,65,56,137.1,119.5,21,9,86.15384615384616,87.16265499635303,0.13846153846153847,0.3230769230769231,0.3062704035272517,0.04783764194249818,0.4269230769230769,0.08411214953271028,0.7207100591715977,0.2792899408284023,0.22373832977137093
GB Hogg,22,22,112.60000000000001,107.1,2,1,100.0,95.11545293072822,0.045454545454545456,0.09090909090909091,0.3464663034626321,0.035999033582991065,0.14015151515151514,0.003738317757009342,0.2027972027972028,0.7972027972027972,0.2315667192642274
GC Smith,22,17,41.3,28.0,4,1,77.27272727272727,67.79661016949153,0.045454545454545456,0.18181818181818182,0.2083884245774405,0.0015462672143029682,0.14015151515151514,0.003738317757009342,0.4055944055944056,0.5944055944055944,0.15434654978251802
GH Vihari,28,22,93.39999999999999,67.6,8,1,78.57142857142857,72.37687366167023,0.03571428571428571,0.2857142857142857,0.23153849258224957,0.02672143029717322,0.1101190476190476,0.014953271028037382,0.6373626373626373,0.3626373626373627,0.14274341403887966
GJ Bailey,67,74,229.6,273.3,8,7,110.44776119402985,119.03310104529619,0.1044776119402985,0.11940298507462686,0.46735349288150213,0.09253442860594345,0.322139303482587,0.08785046728971962,0.2663605051664753,0.7336394948335248,0.3215697447592101
GJ Maxwell,100,103,274.5,276.4,26,15,103.0,100.69216757741346,0.15,0.26,0.37465274372630525,0.11423049045663203,0.4624999999999999,0.14953271028037385,0.5800000000000001,0.41999999999999993,0.29349098946042085
Gurkeerat Singh,90,104,271.6,320.8,10,13,115.55555555555554,118.11487481590575,0.14444444444444443,0.1111111111111111,0.462712493582993,0.11282918579366996,0.4453703703703703,0.13084112149532712,0.24786324786324787,0.7521367521367521,0.35180206819599485
H Klaasen,106,159,320.6,484.40000000000003,10,19,150.0,151.09170305676855,0.1792452830188679,0.09433962264150944,0.6293875806522189,0.13650640251268423,0.5526729559748427,0.16074766355140188,0.21044992743105953,0.7895500725689405,0.4403803540422784
HH Pandya,213,250,633.5,749.3,27,33,117.37089201877934,118.27940015785319,0.15492957746478872,0.1267605633802817,0.4635440555359465,0.2877023435612467,0.4776995305164318,0.36074766355140186,0.28277356446370533,0.7172264355362947,0.4316557279916975
HV Patel,106,123,437.2,511.5,13,17,116.03773584905662,116.99451052150044,0.16037735849056603,0.12264150943396226,0.45704982599849003,0.19284851413384874,0.49449685534591187,0.16074766355140188,0.27358490566037735,0.7264150943396226,0.379107754901493
Harbhajan Singh,266,323,1048.3,1205.0,29,43,121.42857142857142,114.94801106553467,0.16165413533834586,0.10902255639097744,0.44670618492667985,0.4881372312152693,0.4984335839598997,0.45981308411214955,0.24320416425679584,0.7567958357432042,0.49779805631328305
Harpreet Brar,62,64,195.8,197.3,5,7,103.2258064516129,100.76608784473953,0.11290322580645161,0.08064516129032258,0.3750263596150973,0.07620198115486833,0.34811827956989244,0.07850467289719626,0.17990074441687345,0.8200992555831266,0.2963130895823771
I Sharma,41,25,198.3,119.2,3,2,60.97560975609756,60.11094301563288,0.04878048780487805,0.07317073170731707,0.16954268620933588,0.07741000241604253,0.15040650406504064,0.03925233644859813,0.16322701688555347,0.8367729831144466,0.19081856516576867
IK Pathan,246,339,829.0,1182.3,23,43,137.80487804878047,142.61761158021713,0.17479674796747968,0.09349593495934959,0.5865569019595782,0.3821696061850688,0.5389566395663956,0.4224299065420561,0.2085678549093183,0.7914321450906817,0.5241885136574554
Iqbal Abdulla,72,79,283.7,307.1,1,10,109.72222222222223,108.24814945364822,0.1388888888888889,0.013888888888888888,0.41284301259983996,0.11867600869775308,0.4282407407407407,0.09719626168224299,0.030982905982905984,0.969017094017094,0.3498813163495392
Ishan Kishan,87,108,262.7,337.6,17,15,124.13793103448276,128.51161020175107,0.1724137931034483,0.19540229885057472,0.5152608091157829,0.10852863010388983,0.5316091954022988,0.1252336448598131,0.43589743589743596,0.5641025641025641,0.3624101231660697
J Botha,25,15,77.2,40.1,7,1,60.0,51.94300518134715,0.04,0.28,0.12825940269395375,0.01889345252476444,0.12333333333333332,0.009345794392523366,0.6246153846153847,0.3753846153846153,0.10705448477141496
J Suchith,47,58,178.3,216.1,3,9,123.40425531914893,121.2002243409983,0.19148936170212766,0.06382978723404255,0.4783068041388084,0.06774583232664895,0.5904255319148936,0.05046728971962616,0.14238952536824875,0.8576104746317512,0.3662388102385982
J Syed Mohammad,27,29,105.8,112.4,2,4,107.40740740740742,106.2381852551985,0.14814814814814814,0.07407407407407407,0.40268403201699815,0.03271321575259724,0.45679012345679004,0.013084112149532708,0.16524216524216523,0.8347578347578348,0.30307463396083056
JA Morkel,163,209,551.4,715.4,12,22,128.2208588957055,129.7424737033007,0.13496932515337423,0.0736196319018405,0.5214819738619092,0.24803092534428603,0.41615541922290383,0.2672897196261682,0.16422840962718266,0.8357715903728173,0.43062035205238225
JC Archer,73,103,280.9,364.8,8,13,141.0958904109589,129.86828052687792,0.1780821917808219,0.1095890410958904,0.5221178404504263,0.11732302488523796,0.5490867579908675,0.09906542056074766,0.24446786090621705,0.7555321390937829,0.3848480410710793
JC Buttler,105,147,311.2,469.3,16,20,140.0,150.80334190231363,0.19047619047619047,0.1523809523809524,0.6279301142101734,0.13196424257066924,0.5873015873015872,0.15887850467289721,0.33992673992673994,0.6600732600732601,0.4307009404197266
JD Unadkat,97,113,401.90000000000003,467.90000000000003,8,14,116.49484536082475,116.42199552127394,0.14432989690721648,0.08247422680412371,0.4541561581534744,0.17579125392606912,0.4450171821305841,0.14392523364485982,0.18398096748612214,0.8160190325138779,0.37284573445293767
JDS Neesham,53,60,173.9,191.0,5,5,113.20754716981132,109.83323749281195,0.09433962264150944,0.09433962264150944,0.4208545376928636,0.06561971490698236,0.2908805031446541,0.06168224299065421,0.21044992743105953,0.7895500725689405,0.29554343609643813
JEC Franklin,64,61,189.79999999999998,205.39999999999998,4,7,95.3125,108.21917808219177,0.109375,0.0625,0.41269658232993195,0.07330273012805025,0.3372395833333333,0.08224299065420561,0.13942307692307693,0.8605769230769231,0.3117495647533119
JH Kallis,38,22,119.1,76.9,12,2,57.89473684210527,64.56759026028548,0.05263157894736842,0.3157894736842105,0.192067959474363,0.03913988886204397,0.16228070175438594,0.03364485981308411,0.7044534412955465,0.29554655870445345,0.13595224813710388
JJ Bumrah,46,36,231.8,181.6,5,4,78.26086956521739,78.34339948231234,0.08695652173913043,0.10869565217391304,0.26169515905704477,0.09359748731577676,0.2681159420289855,0.048598130841121495,0.24247491638795987,0.7575250836120402,0.23825229679062992
JM Bairstow,28,19,53.1,34.5,4,2,67.85714285714286,64.97175141242938,0.07142857142857142,0.14285714285714285,0.1941107149125622,0.007248127567045178,0.2202380952380952,0.014953271028037382,0.31868131868131866,0.6813186813186813,0.1731613551829461
JM Sharma,122,167,305.1,402.1,14,20,136.88524590163937,131.79285480170435,0.16393442622950818,0.11475409836065574,0.5318452339548871,0.1290166706934042,0.5054644808743168,0.19065420560747665,0.25598991172761665,0.7440100882723834,0.3972188113570689
