bowler,momentum_balls,momentum_runs,momentum_pressure_exposure,momentum_weighted_runs,momentum_wickets,momentum_dot_balls,momentum_economy_raw,momentum_dot_rate_raw,momentum_wicket_rate_raw,momentum_pressure_exposure_norm,momentum_dot_rate_raw_norm,momentum_wicket_rate_raw_norm,momentum_balls_norm,momentum_eco_temp,momentum_economy_norm,momentum_breaker_score
DP Nannes,69,135,202.5,410.7,5,18,11.73913043478261,0.2608695652173913,0.07246376811594203,0.10178685386088066,0.7130434782608696,0.5507246376811594,0.07281553398058252,0.2068943173718656,0.7931056826281344,0.5834530248054426
DP Vijaykumar,27,61,82.7,193.5,0,6,13.555555555555554,0.2222222222222222,0.0,0.02533503509891513,0.6074074074074074,0.0,0.004854368932038833,0.374730915714522,0.625269084285478,0.3737149717548645
DR Sams,35,105,98.6,281.2,1,4,18.0,0.11428571428571428,0.02857142857142857,0.035481812380344604,0.31238095238095237,0.21714285714285714,0.017799352750809058,0.7853949329359164,0.21460506706408355,0.20196369950935414
DR Smith,103,263,293.1,755.1,1,11,15.320388349514564,0.10679611650485436,0.009708737864077669,0.1596043395022336,0.2919093851132686,0.07378640776699029,0.127831715210356,0.5378004138150565,0.4621995861849435,0.2782480884677044
DS Kulkarni,250,534,638.5,1397.0,8,56,12.816,0.224,0.032,0.3800255264837269,0.6122666666666667,0.24320000000000003,0.36569579288025894,0.3063964232488823,0.6936035767511177,0.5190400504659565
DT Christian,130,334,376.4,1008.6,3,13,15.415384615384617,0.1,0.023076923076923078,0.21276324186343332,0.2733333333333334,0.17538461538461542,0.1715210355987055,0.5465780121517827,0.4534219878482173,0.30053637990334636
DW Steyn,327,699,997.5,2118.0,9,76,12.825688073394495,0.2324159021406728,0.027522935779816515,0.6091257179323549,0.6352701325178389,0.20917431192660554,0.49029126213592233,0.3072915954552291,0.6927084045447709,0.5530420351122783
FH Edwards,32,75,97.3,237.3,0,3,14.0625,0.09375,0.0,0.03465220165922145,0.25625,0.0,0.012944983818770225,0.4215722801788375,0.5784277198211625,0.27127192048520604
G Coetzee,33,85,67.1,184.2,2,6,15.454545454545453,0.18181818181818182,0.06060606060606061,0.015379706445437135,0.496969696969697,0.46060606060606063,0.014563106796116505,0.5501964503454815,0.4498035496545185,0.37678916006687324
GB Hogg,69,152,212.4,435.5,3,16,13.217391304347826,0.2318840579710145,0.043478260869565216,0.10810465858328017,0.633816425120773,0.3304347826086957,0.07281553398058252,0.3434847404911552,0.6565152595088448,0.4724134228864143
GC Viljoen,32,66,73.9,158.6,1,5,12.375,0.15625,0.03125,0.01971920867900447,0.42708333333333337,0.23750000000000002,0.012944983818770225,0.2656482861400893,0.7343517138599107,0.4145603524340795
GD McGrath,44,75,110.8,182.5,4,14,10.227272727272727,0.3181818181818182,0.09090909090909091,0.04326738991703892,0.8696969696969697,0.690909090909091,0.032362459546925564,0.06719956645440983,0.9328004335455902,0.6896491972934136
GJ Maxwell,169,353,379.9,790.2,4,38,12.532544378698223,0.22485207100591717,0.023668639053254437,0.21499680918953415,0.614595660749507,0.17988165680473372,0.23462783171521037,0.2802052928156331,0.7197947071843669,0.48651585815332643
HF Gurney,45,86,134.9,261.1,2,6,11.466666666666667,0.13333333333333333,0.044444444444444446,0.05864709636247607,0.36444444444444446,0.3377777777777778,0.03398058252427185,0.18171882762046687,0.8182811723795331,0.45432784488817807
HH Pandya,215,502,562.5,1357.8,8,41,14.009302325581395,0.19069767441860466,0.037209302325581395,0.3315252074026803,0.5212403100775195,0.2827906976744186,0.3090614886731392,0.416656846775032,0.583343153224968,0.4550969902905843
HV Patel,419,894,1166.5,2475.1,20,77,12.801909307875896,0.18377088305489261,0.0477326968973747,0.7169751116783664,0.5023070803500398,0.36276849642004777,0.63915857605178,0.30509445169643135,0.6949055483035687,0.5769607800507832
Harbhajan Singh,456,908,1097.8,2215.1,24,98,11.947368421052632,0.2149122807017544,0.05263157894736842,0.6731333758774729,0.5874269005847953,0.4,0.6990291262135923,0.2261353831673072,0.7738646168326928,0.6349255912467477
Harmeet Singh,100,218,303.4,617.5,2,20,13.080000000000002,0.2,0.02,0.1661774090619017,0.5466666666666667,0.15200000000000002,0.12297734627831716,0.3307898658718331,0.6692101341281669,0.43020568914554697
Harpreet Brar,100,215,269.3,586.9,3,20,12.899999999999999,0.2,0.03,0.14441608168474793,0.5466666666666667,0.228,0.12297734627831716,0.31415797317436644,0.6858420268256336,0.4490507188519449
Harshit Rana,96,213,257.7,590.1,12,27,13.3125,0.28125,0.125,0.1370134014039566,0.76875,0.9500000000000001,0.11650485436893204,0.3522727272727273,0.6477272727272727,0.6342438710318343
I Sharma,349,845,985.7,2336.6,9,79,14.527220630372492,0.22636103151862463,0.025787965616045846,0.6015954052329293,0.618720152817574,0.19598853868194843,0.5258899676375405,0.4645121893935833,0.5354878106064167,0.494047016940076
IC Pandey,68,141,172.7,351.5,3,17,12.441176470588236,0.25,0.04411764705882353,0.08276962348436502,0.6833333333333333,0.33529411764705885,0.07119741100323626,0.27176295257298144,0.7282370474270186,0.5081718269109617
IK Pathan,222,510,667.0,1528.0,5,49,13.783783783783784,0.22072072072072071,0.02252252252252252,0.39821314613911934,0.6033033033033033,0.17117117117117117,0.32038834951456313,0.3958190679502154,0.6041809320497846,0.46838353584285286
Imran Tahir,188,381,553.0,1142.8,9,41,12.159574468085108,0.21808510638297873,0.047872340425531915,0.3254626675175495,0.5960992907801419,0.3638297872340426,0.26537216828478966,0.24574309541173855,0.7542569045882614,0.5448641803279695
Iqbal Abdulla,161,326,438.5,904.5,6,24,12.149068322981368,0.14906832298136646,0.037267080745341616,0.2523931078493938,0.4074534161490683,0.2832298136645963,0.22168284789644013,0.24477233386713082,0.7552276661328692,0.47024659549127396
J Botha,85,186,235.0,496.90000000000003,3,15,13.129411764705884,0.17647058823529413,0.03529411764705882,0.12252712188895981,0.48235294117647065,0.26823529411764707,0.09870550161812297,0.33535548347505917,0.6646445165249408,0.4289841372520847
J Little,34,98,100.6,296.9,2,9,17.294117647058822,0.2647058823529412,0.058823529411764705,0.03675813656668793,0.7235294117647059,0.4470588235294118,0.016181229773462785,0.7201718243184008,0.27982817568159923,0.3735279157696336
J Suchith,74,172,185.5,440.5,4,16,13.945945945945944,0.21621621621621623,0.05405405405405406,0.09093809827696235,0.5909909909909911,0.4108108108108109,0.08090614886731393,0.41080275506504993,0.5891972449349501,0.4533133703515701
