batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index,death_strike_rate,middle_strike_rate,pp_strike_rate,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,batter_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
AD Mathews,274,558.4,314,622.2,27,55.5,14,47.9,2.037956204379562,111.42550143266476,0.09939111747851004,0.0857808022922636,274,109.23315915076013,0.3585403335849603,0.14635267398475096,0.20751660588694978,0.08941004030780506,0.24508800654932456,0.7549119934506754,0.29271686450521506,112.6984126984127,117.15686274509804,57.14285714285714,0.0,0.36367142127342944,0.3436163333651844,0.4350408851944412,0.3309584464890947,High Reliability,0.0857808022922636,69.51554018959648,0.24508800654932456,0.3241950012893587,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,Weak at Death,Middle,0.13623448914583872,0.29825097997966526,0.3181616335918978,0.312048800678956,0.20307252226065994,0.20770303811833293
AD Nath,31,49.2,24,20.6,2,0.0,4,10.8,1.5870967741935484,41.86991869918699,0.0,0.21951219512195122,31,76.03609446877697,0.10903839250416147,0.008678959606337532,0.0,0.00036643459142543175,0.627177700348432,0.372822299651568,0.08268834407680271,0.0,95.65217391304348,28.57142857142857,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.21951219512195122,45.62165668126618,0.627177700348432,0.08097726227352475,Moderate Profile,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Middle,0.020727051207914494,0.020727051207914494,0.01659263400407436,0.020745372937485764,0.029014207345166035,0.033148624549006175
AD Russell,674,1629.3,1085,2423.6,165,365.6,42,134.1,2.417359050445104,148.75099736082979,0.22439084269318113,0.08230528447799669,674,145.1921662893583,0.6288004353850986,0.43589466284540096,0.4685008806533389,0.23598387687797728,0.2351579556514191,0.7648420443485809,0.5208560247876752,167.78846153846155,157.45614035087718,180.0,0.5103196728921956,0.6206034797677821,0.5945990070432297,0.6185972529465978,0.6197841798582711,High Reliability,0.08230528447799669,96.09093348134222,0.2351579556514191,0.59470804148316,Low Risk Stabilizer,Clutch Finisher,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.4882230675088441,0.5378098156073824,0.532057702543173,0.5128396215124694,0.4865063635942886,0.4817238158226611
AJ Finch,782,865.4,987,993.6,141,131.2,38,59.7,1.1066496163682864,114.81395886295356,0.15160619366766812,0.06898544025883985,782,113.75657692683392,0.3925373609204017,0.22935705402044015,0.3165353558697677,0.2755588127519238,0.19710125788239954,0.8028987421176005,0.3719903546772625,153.44827586206898,135.95505617977528,117.06783369803064,0.0,0.36189505215652673,0.34419435373791024,0.4158495022285238,0.3245580374453644,High Reliability,0.06898544025883985,74.31819390280707,0.19710125788239954,0.37308159509048106,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,Weak at Death,Death,0.18301511619890884,0.34400103893378775,0.3573720099005361,0.3624955477472657,0.26644789604876773,0.2762869148525951
AJ Turner,30,77.10000000000001,24,58.300000000000004,2,5.4,4,15.2,2.5700000000000003,75.61608300907912,0.07003891050583658,0.19714656290531773,30,89.1179832821064,0.20735903269318112,0.01622235440436922,0.14623275557127702,0.0,0.5632758940151934,0.4367241059848066,0.1517954078923185,28.57142857142857,125.0,,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.19714656290531773,56.272346389497294,0.5632758940151934,0.18939147919611338,Moderate Profile,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.03794885197307962,0.03794885197307962,0.0303590815784637,0.03794885197307962,0.05312839276231147,0.0607181631569274
AJ Tye,39,162.0,53,204.8,7,25.1,4,14.9,4.153846153846154,126.41975308641975,0.15493827160493828,0.09197530864197531,39,110.014904973781,0.36441576570957734,0.03917698588655166,0.323492330714553,0.0032979113228288753,0.26278659611992944,0.7372134038800706,0.27634158015475563,100.0,166.66666666666669,,0.0,0.0,0.3570683930671547,0.3929288749823514,0.0,Low Reliability,0.09197530864197531,72.20647384846613,0.26278659611992944,0.3515862288444653,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator, Low Sample Confidence",Powerplay,0.06958008173711323,0.06958008173711323,0.2968225787018252,0.27868376216050855,0.09737913531873024,0.11119621432646803
AK Markram,461,641.7,605,815.0,71,101.9,17,30.4,1.3919739696312365,127.00638927847902,0.1587969456132149,0.047374162381175,461,124.09178401110562,0.4702145367099019,0.1688747093494836,0.33154877432577295,0.15793330890436058,0.13535474966049998,0.8646452503395,0.38174759407232756,205.35714285714283,129.89690721649484,98.24561403508771,0.0,0.394981701426943,0.3971181036421208,0.431636801921683,0.35942122250146297,High Reliability,0.047374162381175,80.80694823119197,0.13535474966049998,0.43913114104347645,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,Weak at Death,Death,0.17304007822895542,0.34900381992480584,0.3667959570873887,0.35752006169996725,0.25505362533155246,0.26328203969519176
AL Menaria,130,190.6,151,171.9,16,17.6,7,12.8,1.4661538461538461,90.18887722980064,0.09233997901364115,0.06715634837355719,130,92.14172340094568,0.23008480788449603,0.04690964148596766,0.19279468345575382,0.03664345914254306,0.19187528106730622,0.8081247189326938,0.21664404473400584,85.71428571428571,122.01834862385321,85.71428571428571,0.0,0.0,0.1549447048861523,0.277721756378435,0.0,Medium Reliability,0.06715634837355719,58.97863320111305,0.19187528106730622,0.21693898771309744,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator",Middle,0.05965753005488292,0.05965753005488292,0.1802336488672523,0.18968125872169278,0.08315410748541065,0.09398630972211094
AM Nayar,280,555.8,315,610.5,36,74.6,20,47.7,1.9849999999999999,109.84166966534725,0.13422094278517452,0.08582223821518534,280,107.92916266240415,0.3487397786827693,0.14564970529389495,0.2802370593302584,0.09160864785635764,0.2452063949005295,0.7547936050994705,0.2998820691198262,164.28571428571428,110.05586592178771,57.77777777777777,0.0,0.2907988721693548,0.3617073501924413,0.3957743166288187,0.2629258158993163,High Reliability,0.08582223821518534,70.12633530884948,0.2452063949005295,0.3304123333465285,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator",Death,0.12815068684330763,0.25761652650601535,0.3173442302366001,0.3041547277098029,0.18901190773803977,0.19643433165307297
AM Rahane,1911,1775.3,2248,1836.8,274,221.6,75,105.9,0.9289900575614861,103.46420323325636,0.1248239734129443,0.05965188982143863,1911,103.30497121420144,0.31398535827517315,0.47536905856269934,0.26061732630763224,0.6892634664712348,0.17043397091839607,0.8295660290816039,0.44610667684759964,133.33333333333331,122.80453257790369,113.1484794275492,0.241879427759976,0.35530945562759814,0.1982528486194878,0.19974137417202134,0.3197200537692699,High Reliability,0.05965188982143863,66.97594166503863,0.17043397091839607,0.29834422609262007,Low Risk Stabilizer,Anchor / Stabilizer,No Strong Specialist Tag,"Weak at Death, Weak in Collapse, Poor Stabilizer",Death,0.3717199397399648,0.4209839821874784,0.3218473383310056,0.3589394131902519,0.4222959291852195,0.4357331407108016
AP Majumdar,57,40.7,57,39.1,6,4.7,3,4.0,0.7140350877192982,96.06879606879608,0.11547911547911548,0.09828009828009827,57,96.60633222633192,0.2636398398962535,0.006380792732385228,0.24110639565185024,0.009893733968486624,0.28080028080028074,0.7191997191997193,0.2163020858680009,,85.36585365853658,137.5,0.0,0.0,0.0,0.0,0.0,Low Reliability,0.09828009828009827,62.582963954963766,0.28080028080028074,0.2536277568832987,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator, Low Sample Confidence",Powerplay,0.05555958156227322,0.05555958156227322,0.04474447726887318,0.05605426826069755,0.07768447684749763,0.08849958114089769
AP Tare,110,159.1,142,216.5,20,30.2,9,14.2,1.4463636363636363,136.0779384035198,0.18981772470144564,0.08925204274041483,110,123.93455872927072,0.4690328655778131,0.038392905423673816,0.3963164009675639,0.029314767314034443,0.2550058364011852,0.7449941635988149,0.3336358189179812,211.11111111111111,150.0,117.24137931034481,0.0,0.0,0.0,0.0,0.0,Medium Reliability,0.08925204274041483,81.95344422562025,0.2550058364011852,0.45080141487980535,Low Risk Stabilizer,Balanced Pressure Batter,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Weak in Collapse, Poor Stabilizer, Poor Accelerator",Death,0.08780616982660047,0.08780616982660047,0.07112437888070142,0.0892719081923022,0.12263549008410031,0.13931728102999938
AR Patel,633,1797.2,814,2315.9,93,261.4,42,141.8,2.839178515007899,128.86156243044738,0.14544847540618738,0.07890051190741153,633,126.54513205090679,0.48865336869523013,0.48129021792029414,0.3036787865298883,0.22096005862953463,0.22543003402117576,0.7745699659788242,0.4478722144339467,145.97156398104266,120.99737532808399,109.75609756097562,0.4077665711377144,0.47641950982660364,0.6595758111216866,0.7550671853934037,0.4569462795068778,High Reliability,0.07890051190741153,81.74501824679156,0.22543003402117576,0.4486798302782397,Low Risk Stabilizer,Clutch Finisher,"Collapse Specialist, Stabilizer",No Major Weakness Tag,Death,0.39714896134092,0.42706912223493393,0.575315572478245,0.5523487424464222,0.3967371708820506,0.4001781136923492
AS Raut,98,307.0,115,356.5,11,36.1,5,18.6,3.13265306122449,116.12377850162868,0.11758957654723128,0.06058631921824105,98,109.73707071253884,0.36232762363609183,0.07838100903044395,0.24551278254861322,0.024917552216929276,0.17310376919497442,0.8268962308050256,0.2838614245558595,143.24324324324326,101.66666666666666,100.0,0.0,0.0,0.35331174722280073,0.4623371808067047,0.0,Low Reliability,0.06058631921824105,70.54582548941255,0.17310376919497442,0.33468235723026946,Low Risk Stabilizer,Aggressive Accelerator,No Strong Specialist Tag,"Weak at Death, Weak in High RRR, Poor Accelerator, Low Sample Confidence",Death,0.07470298897150426,0.07470298897150426,0.3174189118345078,0.30842922930925754,0.10433500903793667,0.11852808026572965
