batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
JP Duminy,115.647081339784,794.5,0.11969792322215231,0.06117054751415985,0.35902030316518685,0.37449867632982486,0.3285231904657758,0.40857567847017917,0.3350204976262291,0,Anchor / Stabilizer
JP Faulkner,138.03716660004116,729.9,0.18783394985614468,0.06247431154952734,0.4815310611305643,0.47692224431161107,0.505324356266736,0.5603152979327454,0.4580010341511704,2,Clutch Finisher
JR Hopes,135.63285656882977,338.9,0.20596046031277662,0.05340808498082031,0.0,0.5117041716731718,0.3758563093224312,0.3989986785330027,0.49974871795110976,0,Anchor / Stabilizer
K Goel,85.29844204964914,188.9,0.09264160931709899,0.06246691371095818,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
K Gowtham,132.00191028215625,400.8,0.18562874251497008,0.08607784431137724,0.0,0.0,0.4535335857480184,0.4759547109284371,0.0,1,Aggressive Accelerator
K Rabada,95.64504318674754,490.0,0.11387755102040817,0.10081632653061225,0.0,0.20131260867955036,0.3427601843019929,0.4514480206145493,0.17220312892483636,1,Aggressive Accelerator
KA Pollard,135.54866134313366,2339.4,0.18312387791741472,0.07142857142857142,0.6226608403258205,0.5703612928350964,0.5871171317954955,0.6597059107004232,0.5515717474837972,2,Clutch Finisher
KC Sangakkara,91.86696305347702,530.9,0.11358071199849312,0.09493313241665097,0.0,0.22647945135872116,0.06983912646675107,0.10263714708528261,0.19117661947796208,3,Balanced Pressure Batter
KD Karthik,125.47689051161564,2702.3,0.17174258964585723,0.0739370166154757,0.595873471146414,0.5045491162762729,0.6454727508768121,0.7003052413864387,0.48905903032391784,2,Clutch Finisher
KH Pandya,110.90031294340604,982.7,0.13778365727078457,0.08415589701841864,0.287090231711108,0.26840584302724957,0.40921830881709226,0.5089648859574414,0.25167789115681644,0,Anchor / Stabilizer
KK Cooper,135.659406499509,146.1,0.29089664613278576,0.13347022587268995,0.0,0.0,0.5152433407378629,0.42827068719471195,0.0,1,Aggressive Accelerator
KK Nair,106.77141573545431,659.9,0.15335656917714807,0.0765267464767389,0.0,0.18915970534579601,0.18430866205469584,0.2249015835748462,0.16336322654297694,1,Aggressive Accelerator
KL Rahul,117.84184053274058,1842.1000000000001,0.14228326366646762,0.048477281363661036,0.4187573451768152,0.4810757178260564,0.40492858586765723,0.45895914566963314,0.4419958733695154,2,Clutch Finisher
KM Jadhav,105.80470615108595,924.7,0.12501351789769655,0.059154320320103815,0.2999806623496044,0.38604292045425015,0.35934733075938824,0.44443734962774084,0.3443576095729188,0,Anchor / Stabilizer
KP Pietersen,103.58276589226334,488.5,0.11484135107471853,0.0511770726714432,0.0,0.1810266123517505,0.2742563520500384,0.29353785890827305,0.1256928141382207,1,Aggressive Accelerator
KR Mayers,111.81925181514069,195.1,0.21783700666324962,0.05740645822655049,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
KS Bharat,103.65176121356741,72.4,0.0925414364640884,0.0649171270718232,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
KS Williamson,115.06471574193296,1208.8,0.13591992058239577,0.04781601588352084,0.29159275319842276,0.46723581554800425,0.30187915483254113,0.3416460046385246,0.4368290069792568,0,Anchor / Stabilizer
KV Sharma,112.51533736947206,667.8000000000001,0.1287810721772986,0.0663372267145852,0.3063897960967302,0.2879467420431986,0.4233872423256025,0.5177534662695165,0.23444681429454312,0,Anchor / Stabilizer
Kamran Akmal,121.80417616604583,81.7,0.2521419828641371,0.10403916768665851,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
Kuldeep Yadav,75.69837239617803,672.2,0.06129128235644154,0.045968461767331145,0.12745991972395226,0.14828455720322573,0.30586106452397177,0.4857496605496436,0.06488966497218536,1,Aggressive Accelerator
LA Carseldine,93.29571081831854,44.5,0.12359550561797752,0.040449438202247195,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
