batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AB de Villiers,CH Morris,16,22,0,3,137.5,0.0,0.1875,0.26736111111111105,0.1875,0.0,1.0,0.4305555555555555,0.5694444444444444
AB de Villiers,DJ Bravo,21,21,1,3,100.0,0.047619047619047616,0.14285714285714285,0.19444444444444442,0.14285714285714285,0.11111111111111112,0.8888888888888888,0.3551587301587301,0.6448412698412699
AB de Villiers,DJ Hussey,11,21,1,3,190.9090909090909,0.09090909090909091,0.2727272727272727,0.37121212121212116,0.2727272727272727,0.21212121212121213,0.7878787878787878,0.45075757575757575,0.5492424242424243
AB de Villiers,DJG Sammy,7,23,0,4,328.57142857142856,0.0,0.5714285714285714,0.6388888888888887,0.5714285714285714,0.0,1.0,0.7123015873015872,0.2876984126984128
AB de Villiers,DS Kulkarni,15,12,1,0,80.0,0.06666666666666667,0.0,0.15555555555555553,0.0,0.15555555555555556,0.8444444444444444,0.28888888888888886,0.7111111111111111
AB de Villiers,DT Christian,6,2,0,0,33.33333333333333,0.0,0.0,0.0648148148148148,0.0,0.0,1.0,0.2824074074074074,0.7175925925925926
AB de Villiers,DW Steyn,17,47,1,8,276.4705882352941,0.058823529411764705,0.47058823529411764,0.5375816993464051,0.47058823529411764,0.13725490196078433,0.8627450980392157,0.6021241830065359,0.3978758169934641
AB de Villiers,HH Pandya,11,30,0,6,272.7272727272727,0.0,0.5454545454545454,0.5303030303030302,0.5454545454545454,0.0,1.0,0.6515151515151514,0.3484848484848486
AB de Villiers,HV Patel,23,53,0,9,230.43478260869566,0.0,0.391304347826087,0.4480676328502415,0.391304347826087,0.0,1.0,0.5718599033816425,0.4281400966183575
AB de Villiers,Harbhajan Singh,32,30,1,4,93.75,0.03125,0.125,0.18229166666666663,0.125,0.07291666666666667,0.9270833333333334,0.35416666666666663,0.6458333333333334
AB de Villiers,Harmeet Singh,12,22,0,3,183.33333333333331,0.0,0.25,0.3564814814814814,0.25,0.0,1.0,0.4907407407407407,0.5092592592592593
AB de Villiers,I Sharma,17,15,0,1,88.23529411764706,0.0,0.058823529411764705,0.17156862745098037,0.058823529411764705,0.0,1.0,0.35049019607843135,0.6495098039215687
AB de Villiers,IC Pandey,17,23,1,5,135.29411764705884,0.058823529411764705,0.29411764705882354,0.2630718954248366,0.29411764705882354,0.13725490196078433,0.8627450980392157,0.4207516339869281,0.5792483660130718
AB de Villiers,IK Pathan,27,37,0,5,137.03703703703704,0.0,0.18518518518518517,0.2664609053497942,0.18518518518518517,0.0,1.0,0.4295267489711934,0.5704732510288066
AB de Villiers,IS Sodhi,12,22,0,3,183.33333333333331,0.0,0.25,0.3564814814814814,0.25,0.0,1.0,0.4907407407407407,0.5092592592592593
AB de Villiers,Imran Tahir,13,15,2,1,115.38461538461537,0.15384615384615385,0.07692307692307693,0.2243589743589743,0.07692307692307693,0.35897435897435903,0.641025641025641,0.29166666666666663,0.7083333333333334
AB de Villiers,Iqbal Abdulla,6,7,0,1,116.66666666666667,0.0,0.16666666666666666,0.22685185185185183,0.16666666666666666,0.0,1.0,0.40509259259259256,0.5949074074074074
AB de Villiers,JA Morkel,14,14,1,1,100.0,0.07142857142857142,0.07142857142857142,0.19444444444444442,0.07142857142857142,0.16666666666666666,0.8333333333333334,0.3234126984126984,0.6765873015873016
AB de Villiers,JC Archer,13,30,0,5,230.76923076923075,0.0,0.38461538461538464,0.4487179487179486,0.38461538461538464,0.0,1.0,0.5705128205128205,0.4294871794871795
AB de Villiers,JD Unadkat,26,45,0,6,173.0769230769231,0.0,0.23076923076923078,0.3365384615384615,0.23076923076923078,0.0,1.0,0.47596153846153844,0.5240384615384616
AB de Villiers,JH Kallis,12,8,1,0,66.66666666666666,0.08333333333333333,0.0,0.1296296296296296,0.0,0.19444444444444445,0.8055555555555556,0.2662037037037037,0.7337962962962963
AB de Villiers,JJ Bumrah,29,30,2,3,103.44827586206897,0.06896551724137931,0.10344827586206896,0.2011494252873563,0.10344827586206896,0.16091954022988506,0.8390804597701149,0.3362068965517241,0.6637931034482759
AB de Villiers,JP Duminy,12,7,0,0,58.333333333333336,0.0,0.0,0.11342592592592592,0.0,0.0,1.0,0.30671296296296297,0.693287037037037
