batter,high_rrr_balls,high_rrr_runs,high_rrr_pressure_exposure,high_rrr_weighted_runs,high_rrr_boundaries,high_rrr_dismissals,high_rrr_sr_raw,high_rrr_pressure_sr_raw,high_rrr_boundary_rate_raw,high_rrr_dismissal_rate_raw,high_rrr_pressure_sr_raw_norm,high_rrr_pressure_exposure_norm,high_rrr_boundary_rate_raw_norm,high_rrr_balls_norm,high_rrr_dismissal_temp,high_rrr_dismissal_rate_norm,high_rrr_specialist_score
BA Stokes,70,80,162.2,167.8,6,4,114.28571428571428,103.45252774352653,0.08571428571428572,0.05714285714285714,0.2891398427818719,0.0019255789747592983,0.19856530487271454,0.0,0.24543889845094666,0.7545611015490533,0.23121022403714886
BB McCullum,97,109,209.1,208.4,13,5,112.37113402061856,99.66523194643712,0.13402061855670103,0.05154639175257732,0.262475407474843,0.026333593546708292,0.4109001837109615,0.047368421052631574,0.21235457293089885,0.7876454270691011,0.27593830325364443
BJ Hodge,126,169,366.0,500.8,17,9,134.12698412698413,136.8306010928962,0.1349206349206349,0.07142857142857142,0.5241379853039102,0.10798855061150142,0.41485628748335424,0.0982456140350877,0.32989099254159493,0.6701090074584051,0.39105962388988447
C Green,142,196,334.3,453.3,25,5,138.0281690140845,135.5967693688304,0.176056338028169,0.035211267605633804,0.5154511998113707,0.09149102263856362,0.5956720112469058,0.12631578947368421,0.11578709203009221,0.8842129079699078,0.4446659564460014
CH Gayle,190,228,502.0,601.0,35,11,120.0,119.7211155378486,0.18421052631578946,0.05789473684210526,0.4036787460045347,0.17876658860265415,0.6315144873819577,0.21052631578947367,0.24988374550834921,0.7501162544916508,0.41959197062684866
CH Morris,83,124,335.6,483.0,15,6,149.39759036144576,143.92133492252682,0.18072289156626506,0.07228915662650602,0.5740602579779515,0.09216757741347906,0.6161842716856404,0.02280701754385965,0.3349784680892244,0.6650215319107756,0.440077327956468
CL White,70,70,175.5,159.2,8,6,100.0,90.71225071225071,0.11428571428571428,0.08571428571428572,0.19944199215315828,0.008847254748894098,0.32415361735631176,0.0,0.4143430866322433,0.5856569133677567,0.20494266261908015
DA Miller,360,508,960.1,1365.8,60,14,141.11111111111111,142.25601499843765,0.16666666666666666,0.03888888888888889,0.5623355821774745,0.4171740827478532,0.5543988569095734,0.5087719298245613,0.13752788933511828,0.8624721106648817,0.5563732248514194
DA Warner,394,518,928.0,1136.4,66,22,131.47208121827413,122.45689655172414,0.16751269035532995,0.05583756345177665,0.42293999724209164,0.40046838407494145,0.5581176309678864,0.5684210526315789,0.23772246345789252,0.7622775365421075,0.4939630608227709
DB Ravi Teja,82,97,187.0,202.6,11,6,118.29268292682926,108.34224598930481,0.13414634146341464,0.07317073170731707,0.32356587729820263,0.014832162373145982,0.4114528101802758,0.021052631578947364,0.3401900284063082,0.6598099715936918,0.28276960574722937
DJ Bravo,132,154,460.40000000000003,517.5,16,10,116.66666666666667,112.40225890529973,0.12121212121212122,0.07575757575757576,0.3521503759865401,0.15711683580536043,0.35459926886748694,0.1087719298245614,0.3554825362054278,0.6445174637945722,0.3185323106910989
DJ Hooda,157,186,462.6,539.8000000000001,17,12,118.47133757961782,116.68828361435367,0.10828025477707007,0.07643312101910828,0.3823261094654844,0.1582617746552173,0.2977560739680398,0.15263157894736845,0.3594761210446883,0.6405238789553117,0.32344955930111324
DJ Hussey,184,250,399.3,533.5,26,9,135.8695652173913,133.60881542699724,0.14130434782608695,0.04891304347826087,0.5014550209768311,0.12531876138433515,0.4429164780744961,0.2,0.19678714859437754,0.8032128514056225,0.414550341423061
DPMD Jayawardene,126,136,359.0,392.70000000000005,13,8,107.93650793650794,109.38718662952647,0.10317460317460317,0.06349206349206349,0.3309227761499608,0.1043455633619568,0.2753137180571351,0.0982456140350877,0.28297316249123483,0.7170268375087652,0.28982821189818797
DR Smith,71,69,242.0,222.4,11,7,97.1830985915493,91.90082644628099,0.15492957746478872,0.09859154929577464,0.20781015309583173,0.04345563361956806,0.5028074139879078,0.0017543859649122723,0.49046891792522196,0.509531082074778,0.24350521756379692
DW Steyn,77,51,351.6,239.5,4,10,66.23376623376623,68.11717861205915,0.05194805194805195,0.12987012987012986,0.04036151084081124,0.1004944054124382,0.050142753755736014,0.012280701754385961,0.675376832003338,0.324623167996662,0.07996242314506416
Dhruv Jurel,70,110,287.8,447.90000000000003,17,3,157.14285714285714,155.62890896455872,0.24285714285714285,0.04285714285714286,0.6564873688695596,0.0672911787665886,0.8893010235324993,0.0,0.16098680436029836,0.8390131956397017,0.5378147075716116
EJG Morgan,179,213,508.5,582.8000000000001,25,12,118.99441340782121,114.61160275319568,0.13966480446927373,0.0670391061452514,0.3677052492416151,0.18214936247723135,0.43570971615459086,0.19122807017543864,0.3039420250835746,0.6960579749164254,0.3593825199321969
F du Plessis,233,381,571.5,906.1,51,16,163.51931330472104,158.54768153980754,0.21888412017167383,0.06866952789699571,0.6770369711922681,0.21493624772313297,0.7839254222855326,0.28596491228070176,0.3135805022665771,0.6864194977334229,0.5678255634800529
GJ Maxwell,184,239,415.0,485.7,31,11,129.8913043478261,117.03614457831324,0.16847826086956522,0.059782608695652176,0.3847752226761476,0.13348946135831383,0.5623618839692218,0.2,0.26104417670682734,0.7389558232931727,0.3869759404652835
