batter,death_balls,death_runs,death_pressure_exposure,death_weighted_runs,death_boundaries,death_dismissals,death_sr_raw,death_pressure_sr_raw,death_boundary_rate_raw,death_dismissal_rate_raw,death_pressure_sr_raw_norm,death_pressure_exposure_norm,death_boundary_rate_raw_norm,death_balls_norm,death_dismissal_temp,death_dismissal_rate_norm,death_specialist_score
CH Morris,118,215,462.0,807.0,25,4,182.20338983050848,174.67532467532467,0.211864406779661,0.03389830508474576,0.7123970602679517,0.15838162041272746,0.5283301451725313,0.06593406593406595,0.11382394170870846,0.8861760582912915,0.5175121896467683
DA Miller,307,542,850.8,1551.8,70,14,176.54723127035828,182.39304184297131,0.2280130293159609,0.04560260586319218,0.7683829446714845,0.356002846396259,0.5932072008914194,0.41208791208791207,0.19771597992874504,0.802284020071255,0.6186323805420462
DA Warner,82,142,233.1,368.4,19,6,173.17073170731706,158.04375804375803,0.23170731707317074,0.07317073170731707,0.5917483053760337,0.042035173325200764,0.6080489938757655,0.0,0.3953139664081293,0.6046860335918707,0.42718475894979385
DJ Bravo,176,293,586.8,948.6,34,13,166.47727272727272,161.65644171779144,0.19318181818181818,0.07386363636363637,0.6179554448924771,0.22181559418521907,0.4532728863437524,0.1721611721611722,0.40028044710707256,0.5997195528929274,0.45938794656819515
DJ Hooda,95,110,291.4,320.0,10,13,115.78947368421053,109.81468771448182,0.10526315789473684,0.1368421052631579,0.24188485512367486,0.07166819152180541,0.10005986093843527,0.023809523809523808,0.8516864917712238,0.1483135082287762,0.14831185574534808
DPMD Jayawardene,89,143,216.0,346.7,20,6,160.67415730337078,160.50925925925924,0.2247191011235955,0.06741573033707865,0.6096335508507538,0.0333434990342584,0.5799738515831587,0.01282051282051283,0.3540642750299411,0.6459357249700589,0.4323925142428421
EJG Morgan,99,127,308.0,341.0,13,9,128.2828282828283,110.71428571428572,0.13131313131313133,0.09090909090909091,0.24841072132641728,0.0801057232896208,0.20471557216964043,0.031135531135531136,0.5224558723010736,0.4775441276989264,0.2071965135058649
F du Plessis,82,168,238.1,510.3,27,10,204.8780487804878,214.32171356572871,0.32926829268292684,0.12195121951219512,1.0,0.04457659855647045,0.9999999999999999,0.0,0.7449542076137259,0.2550457923862741,0.6344198989499215
G Gambhir,84,114,150.4,185.3,13,6,135.71428571428572,123.20478723404256,0.15476190476190477,0.07142857142857142,0.33901935067069433,0.0,0.29892096821230674,0.0036630036630036777,0.38282681493650095,0.617173185063499,0.25747555278338935
HH Pandya,208,312,631.2,913.0,43,13,150.0,144.64512040557668,0.20673076923076922,0.0625,0.4945518725862086,0.24438345023889396,0.5077057675482871,0.23076923076923075,0.3188301636444052,0.6811698363555948,0.4394324993044022
Harbhajan Singh,178,244,791.3,1012.3000000000001,32,20,137.07865168539325,127.92872488310377,0.1797752808988764,0.11235955056179775,0.3732877517282682,0.3257598861441496,0.3994121521326688,0.17582417582417584,0.676204721983412,0.32379527801658803,0.34431145373074734
