bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index
CV Varun,844,1608.2,1056,2252.3,50,70.2,315,540.7,1.9054502369668247,8.403059320979978,0.33621440119388135,0.04365128715333914,844,8.472979248678078,0.306817455753626,0.5602867617186921,0.25473972839393433,0.2992347966169956,0.3316296715768805,0.6683703284231195,0.47288101099536056
D Wiese,109,309.1,156,485.3,3,10.5,30,66.8,2.8357798165137615,9.420252345519248,0.2161112908443869,0.03396958912973148,109,9.493515013035841,0.03013651949822163,0.1867310873647381,0.17974748490240527,0.003221908981071289,0.54648470451961,0.45351529548039005,0.23686873669440556
DE Bollinger,406,974.3,498,1285.3,30,77.8,160,353.3,2.3997536945812805,7.915221184440111,0.3626193164323104,0.07985220158062199,406,8.105792066433741,0.17181010798032076,0.6424137431885927,0.5351438251471193,0.12283527990334274,0.2543251645791247,0.7456748354208753,0.5345527502518311
DJ Bravo,1581,3647.3,2059,5365.6,98,239.2,495,1034.0,2.306957621758381,8.826693718641186,0.2834973816247635,0.06558275984975187,1581,8.852031974606263,0.7411028049325923,0.3963214677494731,0.42461595636208865,0.5960531614981877,0.4114322505365544,0.5885677494634456,0.5409569340242258
DJ Hooda,158,339.4,238,540.4,6,16.3,37,79.8,2.1481012658227847,9.553329404832057,0.23512080141426048,0.04802592810842664,158,9.577343400839258,0.03658978127063234,0.24585620510235406,0.288624707959708,0.022956101490132913,0.5641332295905304,0.43586677040946964,0.267233629595335
DJG Sammy,173,378.2,240,567.8,10,24.1,52,108.9,2.1861271676300578,9.00793231094659,0.28794288736118456,0.06372289793759917,173,9.152617359663052,0.04485336400230018,0.41014828612562293,0.41020988657591245,0.02899718082964156,0.4747149742430794,0.5252850257569206,0.35754911623853847
DL Chahar,751,1279.2,974,1889.7,38,60.8,305,458.9,1.703328894806924,8.863508442776734,0.35873983739837395,0.04752970606629143,751,8.912804272080434,0.2367473856835559,0.6303474328120583,0.2847810842359636,0.2617801047120419,0.4242267398938535,0.5757732601061465,0.4462364627704932
DL Vettori,365,757.3000000000001,422,1005.1,12,25.5,120,219.4,2.0747945205479454,7.963290637792156,0.289713455697874,0.03367225670143932,365,8.166897504109006,0.1255936787851682,0.41565526964234545,0.1774444151509998,0.1063229963753524,0.2671897904778171,0.7328102095221829,0.40457486174674356
DP Nannes,224,482.1,284,676.6,9,23.2,88,170.0,2.152232142857143,8.420659614187928,0.352623936942543,0.048122796100394105,224,8.645580784632104,0.0669818754925138,0.6113252000621202,0.289375025519959,0.049536850583971004,0.36796775005343996,0.63203224994656,0.41635229897998605
DR Sams,126,232.6,200,421.5,6,11.0,43,70.0,1.846031746031746,10.872742906276871,0.3009458297506449,0.0472914875322442,126,10.526289702284014,0.01384363086490746,0.45059122635211557,0.28293589734148455,0.01006846556584777,0.7639164179691391,0.23608358203086088,0.23241806963584222
DR Smith,241,541.8000000000001,405,1031.2,8,15.100000000000001,59,118.2,2.248132780082988,11.41971207087486,0.21816168327796231,0.027870062753783682,241,11.116192407188803,0.07969671799459035,0.19310840537078866,0.13250193292869944,0.056383407168747485,0.8881095815228781,0.11189041847712189,0.12187656254295358
DS Kulkarni,800,1559.0,1059,2306.1,39,74.2,321,560.4,1.94875,8.875304682488775,0.35946119307248237,0.047594611930724826,800,8.9210648557672,0.29633889208357295,0.632591059180322,0.28528383038418564,0.2815142972211035,0.42596585383981433,0.5740341461601857,0.4570891926036128
DT Christian,557,1188.4,742,1806.7,18,37.1,180,341.8,2.133572710951526,9.121676203298552,0.2876135981151127,0.03121844496802423,557,9.16546132891004,0.21740889825996212,0.4091241006068972,0.15843774436391966,0.18364881192106325,0.47741903570966926,0.5225809642903307,0.3473919224268798
DW Steyn,1284,2887.2,1444,3648.5,56,124.5,591,1190.8,2.2485981308411214,7.5820864505403165,0.41244111942366307,0.04312136325852037,1284,7.659715430213543,0.5792175153877283,0.797374069859624,0.25063505774057093,0.47643979057591623,0.16041193417863275,0.8395880658213672,0.6379842549232684
FH Edwards,102,234.6,130,356.9,5,9.8,38,69.6,2.3,9.127877237851662,0.2966751918158568,0.041773231031543054,102,9.300689866262962,0.014269588737673845,0.4373082978000653,0.24019273037426175,0.00040273862263391635,0.5058889167883043,0.4941110832116957,0.3106197969318734
G Coetzee,101,220.3,164,346.6,8,18.7,37,81.8,2.1811881188118813,9.439854743531548,0.3713118474807081,0.08488424875170221,101,9.510508016607861,0.011223989947394208,0.6694500479785174,0.5741209245974792,0.0,0.5500622688439332,0.44993773115606683,0.4078759989119319
GB Hogg,246,559.9,310,752.1,11,26.6,82,189.8,2.2760162601626015,8.059653509555279,0.3389891051973567,0.04750848365779604,246,8.328838326897634,0.08355163674312611,0.5689168997903428,0.28461670025895025,0.05839710028191704,0.30128345189586603,0.698716548104134,0.4336299673859661
GD McGrath,133,239.5,157,304.59999999999997,10,18.7,57,90.6,1.800751879699248,7.63089770354906,0.37828810020876824,0.07807933194154489,133,8.183446863295769,0.01531318552595149,0.6911482270240951,0.5214115778359325,0.012887635924285143,0.2706739536374403,0.7293260463625597,0.5013618186202227
GJ Maxwell,483,893.0,646,1309.0,23,35.7,145,243.5,1.8488612836438922,8.795072788353863,0.2726763717805151,0.039977603583426655,483,8.875575118547875,0.1544949204523673,0.3626649736104268,0.22628420622066076,0.15384615384615385,0.4163888264291533,0.5836111735708467,0.3606126001684843
HH Pandya,713,1360.5,991,2180.9,34,74.2,242,411.0,1.9081346423562413,9.618081587651599,0.30209481808158767,0.05453877251010658,713,9.620384735788585,0.2540625732115094,0.45416491490640176,0.3390717278938443,0.24647603705195326,0.5731947909403734,0.4268052090596266,0.3707861414178402
HV Patel,1174,2624.6,1605,3850.0,68,154.20000000000002,357,761.1,2.235604770017036,8.801341156747695,0.2899870456450507,0.058751809799588516,1174,8.836140440713148,0.5232892466935021,0.41650621410928435,0.3717049620105588,0.4321385420861861,0.4080865803921432,0.5919134196078568,0.48651917329936245
