bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index,death_economy,middle_economy,pp_economy,death_bowler_score,set_batter_control_score,momentum_breaker_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,bowler_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
AN Ahmed,142,293.4,198,481.0,3,3.7,46,76.8,2.0661971830985912,9.83640081799591,0.261758691206544,0.012610770279481938,142,9.788699466492291,0.02679275019700552,0.32870780532958044,0.01430690412786463,0.016512283527990335,0.6086303614251076,0.3913696385748924,0.2112524562750512,11.6,8.399999999999999,6.774193548387098,0.0,0.34924138743608285,0.30519536569432065,Medium Reliability,9.788699466492291,13.718473074301297,0.6086303614251076,0.29756241458977584,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.10106926145210945,0.13158879802154153,0.239389129515854,0.24222669159515547,0.2353272450371039,0.1568261025264356
AR Patel,1483,2978.1,1759,3833.6,67,116.0,487,925.1,2.008159136884693,7.723582149692758,0.3106342970350223,0.038951009032604685,1483,7.786519053754377,0.5985773007049604,0.4807251830776341,0.21833243698198018,0.5565847764800644,0.18710810462619043,0.8128918953738096,0.5697687601465068,7.333333333333334,7.0766246362754615,7.176795580110497,0.5897696088325198,0.523321444959412,0.5523609393150477,High Reliability,7.786519053754377,17.47926530338135,0.18710810462619043,0.512884126397133,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.5741803713805275,0.5704395044287802,0.5473938389314433,0.5503754038741202,0.552697769633475,0.5635019117306248
AS Joseph,184,408.2,299,791.0,9,17.2,66,115.2,2.2184782608695652,11.626653601175896,0.2822146006859383,0.042136207741303285,184,11.204981384732758,0.05124273209379593,0.3923316451940302,0.2430042658852557,0.033427305678614586,0.9068024675161122,0.09319753248388785,0.1707154589671488,9.724137931034482,10.814814814814815,8.594594594594595,0.0,0.241093585321447,0.3179175965782279,Medium Reliability,11.204981384732758,16.217540421362077,0.9068024675161122,0.44064488932213464,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters",Powerplay,0.09538060008031357,0.12717235973813634,0.19733060005566214,0.20067610140237396,0.19715719508465906,0.12151899650294111
AS Rajpoot,228,467.9,328,763.9,12,29.1,92,158.7,2.0521929824561402,9.795682838213294,0.33917503740115407,0.06219277623423809,228,9.77006139756738,0.06395757459587247,0.569495203129628,0.39835790988026165,0.051147805074506655,0.6047064588508839,0.3952935411491161,0.3466317787010001,11.09090909090909,8.7,8.0,0.0,0.30885606168896607,0.5105974538000732,High Reliability,9.77006139756738,20.068390681769607,0.6047064588508839,0.6611228151094853,Attacking but Expensive,Death Specialist,No Strong Specialist Tag,"Weak at Death, Can Be Expensive",Powerplay,0.17091973350643697,0.22197947888644431,0.3071066180413041,0.32376960257323045,0.3256583884238322,0.20809609457936923
Abhishek Sharma,160,285.4,239,440.4,5,9.600000000000001,39,68.9,1.78375,9.258584442887177,0.24141555711282414,0.03363700070077086,160,9.352547106062138,0.025088918705939982,0.26543472978025584,0.1771713301425416,0.023761578735400732,0.5168065047401411,0.4831934952598589,0.26377843100494114,11.0,8.587155963302752,9.600000000000001,0.0,0.29650527500992485,0.3822384763341433,Medium Reliability,9.352547106062138,13.75262789067975,0.5168065047401411,0.29951792637588515,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters",Middle,0.1268446160116669,0.16506846364508124,0.2509214650186178,0.2612859654318456,0.2596496232315964,0.16837666421427155
Akash Madhwal,125,224.5,157,299.2,15,31.4,50,80.10000000000001,1.796,7.996436525612472,0.356792873051225,0.1398663697104677,125,8.469805412072342,0.01211850148020361,0.6242918062964257,1.0,0.009665726943213854,0.33096147866067294,0.6690385213393271,0.5618061916444016,8.666666666666666,8.482758620689655,6.0,0.0,0.329457172656629,0.4515975300296426,Medium Reliability,8.469805412072342,24.832962138084635,0.33096147866067294,0.9339152533807108,High Impact Control,Death Specialist,High Impact Control,Weak at Death,Powerplay,0.20964103645702883,0.2548007894599931,0.3480142097354918,0.3872386839199399,0.3988561348693285,0.29206377023056856
Anand Rajan,111,235.1,163,416.1,8,18.6,33,59.4,2.118018018018018,10.619310931518504,0.2526584432156529,0.07911527009783072,111,10.319285060929532,0.014376078205865443,0.3004033820291905,0.5294357205295924,0.004027386226339108,0.720335398478358,0.27966460152164196,0.266409581397845,13.846153846153845,6.7924528301886795,8.0625,0.0,0.29875531051313403,0.5394533133806947,Medium Reliability,10.319285060929532,16.58868566567418,0.720335398478358,0.46189456876906076,Moderate Profile,Death Specialist,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters",Middle,0.1481245002905163,0.20206983162858577,0.27986289395046493,0.2913647172532758,0.28974743079751136,0.16691900259571565
Ankit Sharma,192,351.3,214,416.4,6,9.8,76,137.0,1.8296875000000001,7.111870196413321,0.38998007401081697,0.02789638485624822,192,7.636944045960571,0.039124230613592326,0.727513672893428,0.13270581798196351,0.03664921465968586,0.15561783809234542,0.8443821619076546,0.4771112109007648,17.25,6.767441860465116,5.755102040816326,0.0,0.47862578584467613,0.32336214586574213,Medium Reliability,7.636944045960571,20.893822943353257,0.15561783809234542,0.7083824021111013,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Powerplay,0.1732795068040054,0.20561572139057963,0.3587990998759134,0.38074647094077185,0.3806707421935763,0.29206702372819404
Anureet Singh,194,476.0,317,835.9,12,36.7,59,132.7,2.4536082474226806,10.53655462184874,0.27878151260504197,0.07710084033613446,194,10.355544992007198,0.06568270398057632,0.38165374077137304,0.5138324031345083,0.037454691904953694,0.7279692599835406,0.27203074001645944,0.28790586257451883,12.13953488372093,9.975903614457831,8.117647058823529,0.0,0.32826529170744234,0.3495702911051442,Medium Reliability,10.355544992007198,17.794117647058822,0.7279692599835406,0.5309107924498268,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Powerplay,0.13003021309514437,0.1649872422056588,0.2642743143432541,0.2747789014200862,0.27276092996344004,0.18643360715703908
Arshdeep Singh,712,1587.0,1006,2361.9,38,96.0,243,511.9,2.228932584269663,8.9296786389414,0.3225582860743541,0.06049149338374291,712,8.977155606741965,0.3023023023023023,0.5178122639501862,0.3851801576449408,0.24607329842931935,0.43777472969635967,0.5622252703036403,0.44733000411357676,8.597938144329897,7.9171597633136095,8.681948424068768,0.5462231630066968,0.5322746271056223,0.5052258407422355,High Reliability,8.977155606741965,19.15248897290485,0.43777472969635967,0.6086834587751727,Low Risk Support,Control Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.470327795257141,0.46622806303069486,0.44838844834967295,0.4542040524842836,0.44995682133468135,0.45885371258262725
