bowler,death_balls,death_runs_conceded,death_pressure_exposure,death_weighted_runs_conceded,death_wickets,death_weighted_wickets,death_dot_balls,death_weighted_dot_balls,death_economy_raw,death_pressure_economy_raw,death_dot_rate_raw,death_wicket_rate_raw,death_pressure_exposure_norm,death_dot_rate_raw_norm,death_wicket_rate_raw_norm,death_balls_norm,death_eco_temp,death_pressure_economy_norm,death_bowler_score
JH Kallis,118,160,423.5,635.6,10,32.5,33,108.5,8.135593220338983,9.00495867768595,0.2796610169491525,0.0847457627118644,0.14893617021276595,0.4182174267575278,0.4641460234680575,0.1274725274725275,0.23970182771229354,0.7602981722877065,0.47766472862498194
JJ Bumrah,511,689,1771.5,2560.2,36,104.9,161,505.0,8.090019569471625,8.67129551227773,0.3150684931506849,0.07045009784735812,0.9999999999999999,0.5541590170879818,0.372873701640825,0.9912087912087912,0.1864684571980877,0.8135315428019123,0.7192634628473098
JO Holder,103,188,320.8,627.0,7,25.7,24,75.1,10.951456310679612,11.726932668329177,0.23300970873786409,0.06796116504854369,0.08409621819559314,0.23910686284322558,0.35698282300224055,0.0945054945054945,0.6739716692654196,0.3260283307345804,0.25539283510608474
JP Faulkner,136,191,462.5,714.0,16,51.9,38,119.4,8.426470588235293,9.262702702702702,0.27941176470588236,0.11764705882352941,0.1735589368015657,0.41726046088538493,0.6742081447963801,0.16703296703296702,0.2808228881228816,0.7191771118771184,0.512742847516876
JR Hazlewood,88,108,283.1,400.3,9,29.8,30,86.9,7.363636363636363,8.483927940657011,0.3409090909090909,0.10227272727272728,0.06029421049308668,0.6533700406123084,0.5760489510489512,0.06153846153846154,0.15657541416401544,0.8434245858359846,0.5562803811026557
K Rabada,211,308,696.7,1118.3999999999999,27,80.3,77,239.9,8.75829383886256,9.631692263528059,0.36492890995260663,0.12796208530805686,0.3214218069322558,0.745590462696047,0.7400656215822093,0.3318681318681319,0.33969231107299547,0.6603076889270045,0.6096389922067544
KA Pollard,162,252,603.8,1024.6,15,50.7,46,152.0,9.333333333333334,10.181517058628685,0.2839506172839506,0.09259259259259259,0.2627691142117557,0.4346866912731744,0.5142450142450142,0.22417582417582418,0.42741259329138104,0.572587406708619,0.45202488300100013
KH Pandya,66,92,214.2,367.8,10,27.3,24,67.9,8.363636363636363,10.302521008403362,0.36363636363636365,0.15151515151515152,0.016793989519540378,0.7406279287722586,0.8904428904428906,0.013186813186813195,0.44671783510360474,0.5532821648963953,0.5237007013033806
KK Ahmed,150,246,511.1,867.5,13,42.6,43,128.0,9.84,10.18391704167482,0.2866666666666667,0.08666666666666667,0.20424269208914703,0.4451145475372278,0.4764102564102565,0.1978021978021978,0.4277954919747473,0.5722045080252527,0.43499316219192713
KK Cooper,105,126,356.6,445.9,12,41.0,32,100.8,7.199999999999999,7.50252383623107,0.3047619047619048,0.11428571428571428,0.10669865521813245,0.5145884470626738,0.6527472527472528,0.09890109890109891,0.0,1.0,0.609362048134815
L Balaji,177,314,579.3,1148.2,18,53.2,43,114.4,10.64406779661017,11.89228379078198,0.24293785310734464,0.1016949152542373,0.24730096597007378,0.27722445492845627,0.5723598435462843,0.2571428571428571,0.7003521585702575,0.29964784142974255,0.3376030348051548
LH Ferguson,137,230,489.6,916.1999999999999,6,23.2,33,103.7,10.072992700729927,11.227941176470587,0.24087591240875914,0.043795620437956206,0.1906686028158343,0.26930794893019283,0.20269511510387428,0.1692307692307692,0.5943614463717835,0.40563855362821655,0.2818974739221413
M Morkel,101,159,348.5,581.4,9,29.8,24,79.9,9.445544554455445,10.009756097560976,0.2376237623762376,0.0891089108910891,0.10158469600353558,0.25682181620223865,0.4920030464584921,0.0901098901098901,0.40000946394323456,0.5999905360567654,0.3840103535635334
M Muralitharan,109,138,371.2,555.5,11,34.8,47,148.4,7.5963302752293576,8.978987068965518,0.43119266055045874,0.10091743119266056,0.11591640886419595,0.9999999999999998,0.5673959068454483,0.1076923076923077,0.2355582589483478,0.7644417410516522,0.6091904828360281
M Pathirana,155,196,483.9,645.3,15,46.2,48,143.7,7.587096774193547,8.001239925604462,0.3096774193548387,0.0967741935483871,0.18706989077593278,0.5334608136570225,0.5409429280397022,0.2087912087912088,0.07956628456284331,0.9204337154371567,0.5859721532378606
M Prasidh Krishna,169,272,593.3,1083.6,9,30.7,52,152.9,9.65680473372781,10.958368447665599,0.3076923076923077,0.05325443786982249,0.2561399078224635,0.5258392809939201,0.26308602639963596,0.23956043956043957,0.5513532080022749,0.44864679199772506,0.3771884688073284
MA Starc,81,139,276.0,504.1,11,39.4,25,76.7,10.296296296296298,10.958695652173914,0.30864197530864196,0.13580246913580246,0.055811604267946194,0.5294853845827499,0.7901234567901235,0.046153846153846156,0.5514054109441362,0.4485945890558638,0.4339169996997036
MG Johnson,124,174,401.0,618.2,15,53.5,45,134.0,8.419354838709678,9.249875311720698,0.3629032258064516,0.12096774193548387,0.1347307279499968,0.7378131581864538,0.6954094292803972,0.14065934065934063,0.2787763773669216,0.7212236226330784,0.5733483286733811
MJ McClenaghan,136,198,442.4,692.7,13,39.7,42,126.6,8.735294117647058,9.394665461121159,0.3088235294117647,0.09558823529411764,0.16086874171349197,0.5301824337982615,0.5333710407239819,0.16703296703296702,0.30187652286968336,0.6981234771303166,0.49788751986038
MM Patel,107,165,345.3,541.7,11,38.2,31,97.8,9.25233644859813,9.412684622067768,0.2897196261682243,0.102803738317757,0.09956436643727508,0.4568359186819537,0.5794392523364487,0.10329670329670329,0.30475134026180517,0.6952486597381948,0.4758563904073102
MM Sharma,288,427,963.7,1561.6,30,88.7,83,259.1,8.895833333333332,9.722527757600911,0.2881944444444444,0.10416666666666667,0.4899930551171159,0.4509802166857577,0.5881410256410258,0.5010989010989011,0.35418440973154874,0.6458155902684513,0.5574685534367722
MP Stoinis,81,184,276.2,633.9,7,28.2,21,75.39999999999999,13.62962962962963,13.77045619116582,0.25925925925925924,0.08641975308641975,0.05593787486583747,0.33988799796359914,0.47483380816714155,0.046153846153846156,0.9999999999999998,2.220446049250313e-16,0.17595042707140848
Mohammed Shami,207,360,741.3,1423.5,20,66.5,54,175.5,10.434782608695652,11.5216511533792,0.2608695652173913,0.0966183574879227,0.3495801502620114,0.3460705214403106,0.5399479747305835,0.32307692307692304,0.641220595494121,0.358779404505879,0.3875212056582305
Mohammed Siraj,293,421,1038.4,1552.5,22,78.6,87,294.6,8.621160409556314,8.97053158705701,0.29692832764505117,0.07508532423208192,0.5371551234295094,0.48451262564066466,0.40246783932790775,0.5120879120879122,0.23420925238131773,0.7657907476186823,0.5772049143834708
Mukesh Kumar,69,137,224.6,449.4,7,23.1,16,56.5,11.91304347826087,12.005342831700801,0.2318840579710145,0.10144927536231885,0.023360060609886976,0.23478509885950494,0.5707915273132665,0.019780219780219765,0.7183898517865555,0.28161014821344454,0.265160908178765
Mustafizur Rahman,244,396,884.4,1576.1,14,40.8,72,252.2,9.737704918032787,10.692672998643147,0.29508196721311475,0.05737704918032787,0.439926763053223,0.47742380710945853,0.289407313997478,0.4043956043956044,0.5089635595541275,0.49103644044587247,0.43165755327498656
NLTC Perera,75,143,280.6,556.4,7,21.2,21,75.5,11.440000000000001,11.897362794012828,0.28,0.09333333333333334,0.05871582801944568,0.4195189003436426,0.5189743589743591,0.03296703296703296,0.7011624741485438,0.2988375258514562,0.3043958634112301
NM Coulter-Nile,89,150,306.7,530.6999999999999,4,11.9,23,70.1,10.112359550561797,10.382132376915552,0.25842696629213485,0.0449438202247191,0.07519414104425783,0.3366925363913664,0.21002592912705276,0.06373626373626373,0.4594192115709994,0.5405807884290006,0.31619971658409907
