batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index
AC Gilchrist,792,584.8,1126,675.3,184,119.1,36,34.0,0.7383838383838384,115.47537619699042,0.2036593707250342,0.058139534883720936,792,114.39127567733082,0.397307619127492,0.1534905099226734,0.4252160800895412,0.2792231586661781,0.16611295681063123,0.8338870431893688,0.3786757397678263
AC Voges,44,84.9,43,79.7,3,6.4,3,8.7,1.9295454545454547,93.87514723203769,0.07538280329799764,0.10247349823321553,44,95.65385798410422,0.25648124998651833,0.01833126047693722,0.15739015597672842,0.005130084279956029,0.2927814235234729,0.7072185764765271,0.20135864577615017
AD Hales,66,72.3,96,105.89999999999999,14,16.0,3,3.0,1.0954545454545455,146.47302904564313,0.22130013831258646,0.04149377593360996,66,125.24289732162573,0.4788660547922998,0.01492456605201968,0.46204786453749125,0.0131916452913155,0.11855364552459986,0.8814463544754001,0.3539618970491849
AD Mascarenhas,32,80.89999999999999,35,74.0,3,2.7,6,16.8,2.5281249999999997,91.47095179233624,0.03337453646477133,0.20766378244746603,32,94.97593450793778,0.2513861241123452,0.017249770183312602,0.06968198674008319,0.0007328691828508618,0.5933250927070457,0.4066749072929543,0.15523412279933613
AD Mathews,274,558.4,314,622.2,27,55.5,14,47.9,2.037956204379562,111.42550143266476,0.09939111747851004,0.0857808022922636,274,109.23315915076013,0.3585403335849603,0.14635267398475096,0.20751660588694978,0.08941004030780506,0.24508800654932456,0.7549119934506754,0.29271686450521506
AD Nath,31,49.2,24,20.6,2,0.0,4,10.8,1.5870967741935484,41.86991869918699,0.0,0.21951219512195122,31,76.03609446877697,0.10903839250416147,0.008678959606337532,0.0,0.00036643459142543175,0.627177700348432,0.372822299651568,0.08268834407680271
AD Russell,674,1629.3,1085,2423.6,165,365.6,42,134.1,2.417359050445104,148.75099736082979,0.22439084269318113,0.08230528447799669,674,145.1921662893583,0.6288004353850986,0.43589466284540096,0.4685008806533389,0.23598387687797728,0.2351579556514191,0.7648420443485809,0.5208560247876752
AJ Finch,782,865.4,987,993.6,141,131.2,38,59.7,1.1066496163682864,114.81395886295356,0.15160619366766812,0.06898544025883985,782,113.75657692683392,0.3925373609204017,0.22935705402044015,0.3165353558697677,0.2755588127519238,0.19710125788239954,0.8028987421176005,0.3719903546772625
AJ Turner,30,77.10000000000001,24,58.300000000000004,2,5.4,4,15.2,2.5700000000000003,75.61608300907912,0.07003891050583658,0.19714656290531773,30,89.1179832821064,0.20735903269318112,0.01622235440436922,0.14623275557127702,0.0,0.5632758940151934,0.4367241059848066,0.1517954078923185
AJ Tye,39,162.0,53,204.8,7,25.1,4,14.9,4.153846153846154,126.41975308641975,0.15493827160493828,0.09197530864197531,39,110.014904973781,0.36441576570957734,0.03917698588655166,0.323492330714553,0.0032979113228288753,0.26278659611992944,0.7372134038800706,0.27634158015475563
AK Markram,461,641.7,605,815.0,71,101.9,17,30.4,1.3919739696312365,127.00638927847902,0.1587969456132149,0.047374162381175,461,124.09178401110562,0.4702145367099019,0.1688747093494836,0.33154877432577295,0.15793330890436058,0.13535474966049998,0.8646452503395,0.38174759407232756
AL Menaria,130,190.6,151,171.9,16,17.6,7,12.8,1.4661538461538461,90.18887722980064,0.09233997901364115,0.06715634837355719,130,92.14172340094568,0.23008480788449603,0.04690964148596766,0.19279468345575382,0.03664345914254306,0.19187528106730622,0.8081247189326938,0.21664404473400584
AM Nayar,280,555.8,315,610.5,36,74.6,20,47.7,1.9849999999999999,109.84166966534725,0.13422094278517452,0.08582223821518534,280,107.92916266240415,0.3487397786827693,0.14564970529389495,0.2802370593302584,0.09160864785635764,0.2452063949005295,0.7547936050994705,0.2998820691198262
AM Rahane,1911,1775.3,2248,1836.8,274,221.6,75,105.9,0.9289900575614861,103.46420323325636,0.1248239734129443,0.05965188982143863,1911,103.30497121420144,0.31398535827517315,0.47536905856269934,0.26061732630763224,0.6892634664712348,0.17043397091839607,0.8295660290816039,0.44610667684759964
AP Majumdar,57,40.7,57,39.1,6,4.7,3,4.0,0.7140350877192982,96.06879606879608,0.11547911547911548,0.09828009828009827,57,96.60633222633192,0.2636398398962535,0.006380792732385228,0.24110639565185024,0.009893733968486624,0.28080028080028074,0.7191997191997193,0.2163020858680009
AP Tare,110,159.1,142,216.5,20,30.2,9,14.2,1.4463636363636363,136.0779384035198,0.18981772470144564,0.08925204274041483,110,123.93455872927072,0.4690328655778131,0.038392905423673816,0.3963164009675639,0.029314767314034443,0.2550058364011852,0.7449941635988149,0.3336358189179812
AR Patel,633,1797.2,814,2315.9,93,261.4,42,141.8,2.839178515007899,128.86156243044738,0.14544847540618738,0.07890051190741153,633,126.54513205090679,0.48865336869523013,0.48129021792029414,0.3036787865298883,0.22096005862953463,0.22543003402117576,0.7745699659788242,0.4478722144339467
AS Raut,98,307.0,115,356.5,11,36.1,5,18.6,3.13265306122449,116.12377850162868,0.11758957654723128,0.06058631921824105,98,109.73707071253884,0.36232762363609183,0.07838100903044395,0.24551278254861322,0.024917552216929276,0.17310376919497442,0.8268962308050256,0.2838614245558595
AT Rayudu,1831,2238.3,2201,2503.1,270,303.3,77,149.2,1.2224467504096124,111.83040700531652,0.13550462404503416,0.0666577313139436,1831,111.44201562946873,0.37514162000248485,0.6005515600497486,0.2829172302031168,0.6599486991572004,0.1904506608969817,0.8095493391030183,0.4925517833252931
Abdul Samad,204,703.2,264,932.4,31,110.5,17,62.5,3.447058823529412,132.5938566552901,0.15713879408418657,0.08887940841865756,204,125.63032649596582,0.4817778884726326,0.18550262261396203,0.32808675492122596,0.06375961890802491,0.25394116691045016,0.7460588330895499,0.3631945192951881
Abhishek Sharma,492,548.6,730,581.3,106,75.2,31,61.2,1.115040650406504,105.96062705067443,0.13707619394823187,0.11155668975574189,492,105.15421527901837,0.3278838757532674,0.14370302276537067,0.28619847766767204,0.1692927812385489,0.31873339930211964,0.6812666006978804,0.29634450376010224
Abishek Porel,98,218.2,121,223.8,17,30.7,8,23.0,2.226530612244898,102.56645279560037,0.14069660861594868,0.10540788267644363,98,100.75992260989848,0.29485732472758075,0.0543719245119775,0.2937574646557232,0.024917552216929276,0.3011653790755532,0.6988346209244468,0.24650202941677035
Aman Hakim Khan,52,154.70000000000002,47,128.70000000000002,5,11.9,5,15.7,2.9750000000000005,83.19327731092437,0.07692307692307691,0.10148674854557206,52,90.0686920829824,0.2145043539284619,0.03720326610068675,0.1606060606060606,0.008061561011359472,0.2899621387016344,0.7100378612983655,0.18954632416397166
Anmolpreet Singh,48,77.7,59,86.8,10,13.3,5,9.100000000000001,1.6187500000000001,111.7117117117117,0.17117117117117117,0.11711711711711713,48,104.3175340250847,0.32159556083982077,0.01638457794841291,0.35738465738465747,0.006595822645657752,0.3346203346203346,0.6653796653796654,0.2530501784681247
Anuj Rawat,150,224.0,152,224.5,19,35.300000000000004,7,18.1,1.4933333333333334,100.22321428571428,0.15758928571428574,0.08080357142857143,150,99.47219157576639,0.2851790174530128,0.05594008543773319,0.32902732683982694,0.043972150971051664,0.2308673469387755,0.7691326530612245,0.258122811046506
Anureet Singh,39,175.4,25,108.60000000000001,2,9.600000000000001,4,20.700000000000003,4.4974358974358974,61.91562143671609,0.054732041049030795,0.11801596351197265,39,81.74904953177602,0.1519757241984072,0.04279997837019413,0.1142738675235825,0.0032979113228288753,0.33718846717706463,0.6628115328229354,0.15326720546265696
